name,freereturns,itemssold,status,price,shipping
"New ListingSquishmallows 14"" Purple Monkey Rare Stuffed Animal Plush NWT",False,,Brand New,2499,0
JOY the Plush RAINBOW UNICORN Stuffed Animal - by Douglas Cuddle Toys - #770,True,0,Brand New,2795,0
New Listing9” White Soft Bunny Rabbit Plush Stuffed Animal,False,,Pre-Owned,1299,0
Douglas Softy Manatee Plush Stuffed Animal,True,,Brand New,1445,0
"New Listing11"" plush Prairie Dog Conservation Critters stuffed animal wildlife artists",True,,Pre-Owned,1500,0
New ListingAurora Realistic Gray Raccoon 16” Plush Stuffed Animal,False,,Pre-Owned,1250,530
Mini 8 Inch Calico Plush Cat  Juju Bean- Kitten Stuffed Animal,False,,Brand New,897,0
"New ListingCosmic 8"" Light Up Alien Galactic Cuties Aurora stuffed animal plush toy martian",True,,Brand New,1450,
"New ListingLinzy Dino-Mite Pal 10"" Tall Plush Stuffed Animal Dinosaur T-Rex",False,,Brand New,1199,0
"New ListingSquishmallows 14"" Gray Donkey Rare Stuffed Animal Plush NWT",False,,Brand New,2499,0
"Marmot Groundhog Woodchuck Stuffed Animal Plush 14""",False,,Brand New,2199,0
Oliver the Sea Otter | 10 Inch Stuffed Animal Plush | By Tiger Tale Toys,True,0,Brand New,1499,0
"New ListingSquishmallows 14"" Pink Rainbow Axolotl Rare Stuffed Animal Plush NWT",False,,Brand New,28099,0
Wildlife Artist Wild Life Artist Conservation Critters Opossum Plush Super Soft,False,232,Brand New,1817,0
Squishmallows 16” Malik blue Triceratops Dinosaur rare Stuffed Animal Plush NWT,False,0,Brand New,3199,0
"Imaginary People Slime Rancher 4"" Mini Plush Stuffed Animal Pink Slime Toy ",True,49,Brand New,1997,0
"New ListingBlue Angry Birds Bird Plush Stuffed Animal Toy 5"" Commonwealth 2010 No Sound",False,,Pre-Owned,1899,0
"Widlife Artists 5"" Tall Chipmunk Stuffed Animal Plush Toy",True,,Brand New,799,0
Hallmark Cozy Christmas Selfie Techno Snowman 2020 Singing Stuffed Animal ,True,28,Brand New,2700,0
"New ListingHallmark Easter Bunny 10"" White Soft Stuffed Animal Plush Toy with Green Bow",False,,Pre-Owned,99,599
"New ListingKellytoy Beanpals Plush Stuffed Animal Toy Orange-green w/Tags 7"" Dino Rare",False,,Pre-Owned,999,0
"ADORE 12"" Standing Queenie the Hen Chicken Stuffed Animal Plush Toy",False,,Brand New,1999,0
New ListingPeace Pals Rainbow Bear Tie Dye Plush Stuffed Animal Toy Teddy Bear 6”in Sitting,False,,Brand New,999,0
"12"" Natural Sloth Gray Light Gray Plush Stuffed Animal",True,,Brand New,1699,
New ListingSteven Smith stuffed animal turkey 7”-8”,False,,Brand New,1600,500
New Listing7” With Tags SOFT EXPRESSIONS Platinum Plus WHTE POODLE Stuffed Animal Plush DOG,False,,Pre-Owned,499,822
New ListingLego Duplo Red Bunny Rabbit Plush Stuffed Animal Free Shipping,True,,Pre-Owned,1748,0
Douglas Cuddle Toys Checkers The Dalmation # 1561 Stuffed Animal Toy,False,0,Brand New,1125,0
Squishmallows Wendy The Frog 16 inch Plush Toy Stuffed Animal Free Shipping USA,False,0,Brand New,4999,0
"Super Soft Cuddling Stuffed GREY Floppy Elephant Toy 24"", USA Seller NEW",False,244,Brand New,1379,0
"ADORE 13"" Standing Cory the Farting Corgi Dog Stuffed Animal Plush Toy",False,127,Brand New,1999,0
"ADORE 12"" Standing Rosie The Hen Chicken Plush Stuffed Animal Toy",False,371,Brand New,1999,0
Canned Critters Stuffed Animal: Skunk 6'',False,,Brand New,1499,
New ListingSquishmallows 12” Callista white caticorn cat Unicorn Stuffed Animal Plush NWT,False,,Brand New,2399,0
"ADORE 12"" Standing Fluffy the Silkie Chicken Stuffed Animal Plush Toy",False,92,Brand New,1999,0
Subnautica Peeper Fish Plush Stuffed Sea Animal Toy 10 Inches,True,0,Brand New,2845,0
New Listing5 Pre Owned Stuffed Animals,False,,Pre-Owned,2000,199
Douglas Cuddle Toys Amber Red Fox #1725 Stuffed Animal Toy Brand New,False,0,Brand New,1595,0
Shrimp Plush Toy Stuffed Animal (6 inch) ,False,,Brand New,1399,0
New ListingStuffed Animal,False,,Pre-Owned,500,520
Iago the Iguana | 32 inch (Including Tail!) Stuffed Animal Plush Lizard,True,43,Brand New,1999,0
"New ListingHallmark Plush Sparkles Polar Bear 10"" Soft Stuffed Animal Silver Ribbon Star",False,,Pre-Owned,1499,
New ListingKellytoy Llama / Alpaca Pale Pink Stuffed Animal Fluffy - STEAM CLEANED,True,,Pre-Owned,1500,0
New with Tags Halloween 2021 Squishmallows 12” Pick Your Favourite!,False,35,Brand New,2711,2034
New ListingShrek the Third PUSS IN BOOTS CAT 14” Plush STUFFED ANIMAL Toy,True,,Pre-Owned,990,615
"ADORE 13"" Yukon the Moose Plush Stuffed Animal Walltoy Wall Mount",False,471,Brand New,1999,0
"New ListingSquishmallows 14"" Rainbow Lion Rare Stuffed Animal Plush NWT",False,,Brand New,2499,0
"Hatchimals Hatchibuddies Blue & White with Wings Plush 6"" Stuffed Animal ",False,,Pre-Owned,750,460
"Fiesta Toys Okapi Plush Stuffed Animal Toy 16"" A35551",False,,Brand New,2299,
"Squishmallows 20"" Hila The brown hedgehog Rare Stuffed Animal Plush NWT",False,0,Brand New,5695,0
Dolphin Stuffed  Animal Plush Fiesta Soft Toy Brand New 9 in Story Book  ,False,0,Brand New,1295,0
"Togepi Plush Doll Soft Toy Stuffed Animal Teddy 6""",False,,Brand New,1099,0
INGRID the Plush CORGI Puppy Dog Stuffed Animal - by Douglas Cuddle Toys - #1819,True,0,Brand New,2795,0
Peek-A Boo Toys Butterfly Plush Stuffed Animal Bright Multi-Colors NWT,False,,Brand New,2199,955
,False,,,,
"Squishmallow Reginald Corgi Huggapals 13"" Plush Stuffed Animal Kellytoy NWT",False,0,Brand New,1699,0
Douglas Cuddle Toys Buffy the Baby Goat # 1505 Stuffed Animal Toy,False,306,Brand New,1049,0
